ą,ɔ̃ w̃
śródziemny,ɕ r u d ʲ ˈ ʑ ɛ̃ m n ɨ
świąteczny,ɕ f ʲ j ɔ̃ n ˈ t ɛ t͡ʂ n ɨ
świątek,ˈ ɕ f ʲ j ɔ̃ n t ɛ k
świątynia,ɕ f ʲ j ɔ̃ n ˈ t ɨ ɲ a
święcidlnia,ɕ f ʲ j ɛ̃ ɲ ˈ t͡ɕ i d l ʲ ɲ a
święconka,ɕ f ʲ j ɛ̃ n ˈ t͡s ɔ̃ n k a
święta,ˈ ɕ f ʲ j ɛ̃ n t a
święto,ˈ ɕ f ʲ j ɛ̃ n t ɔ
świętochłowiczanin,ɕ f ʲ j ɛ̃ n t ɔ x w ɔ v ʲ i ˈ t͡ʂ ã ɲ i n
świętochłowiczanka,ɕ f ʲ j ɛ̃ n t ɔ x w ɔ v ʲ i ˈ t͡ʂ ã n k a
świętojański,ɕ f ʲ j ɛ̃ n t ɔ ˈ j a j̃ s ʲ c i
świętokrzyszczyzna,ɕ f ʲ j ɛ̃ n t ɔ k ʂ ɨ ʂ ˈ t͡ʂ ɨ z n a
świętomarciński,ɕ f ʲ j ɛ̃ n t ɔ̃ m a r ʲ ˈ t͡ɕ i j̃ s ʲ c i
świętopełk,ɕ f ʲ j ɛ̃ n ˈ t ɔ p ɛ w k
świętowanie,ɕ f ʲ j ɛ̃ n t ɔ ˈ v ã ɲ ɛ
świętować,ɕ f ʲ j ɛ̃ n ˈ t ɔ v a t͡ɕ
świętość,ˈ ɕ f ʲ j ɛ̃ n t ɔ ɕ t͡ɕ
święty,ˈ ɕ f ʲ j ɛ̃ n t ɨ
świński,ˈ ɕ f ʲ i j̃ s ʲ c i
świństwo,ˈ ɕ f ʲ i j̃ s t f ɔ
świadczenie,ɕ f ʲ j a ṭ ˈ t͡ʂ ɛ̃ ɲ ɛ
świadczyć,ˈ ɕ f ʲ j a ṭ t͡ʂ ɨ t͡ɕ
świadectwo,ɕ f ʲ j a ˈ d ɛ t͡s t f ɔ
świadek,ˈ ɕ f ʲ j a d ɛ k
świadkować,ɕ f ʲ j a t ˈ k ɔ v a t͡ɕ
świadom,ˈ ɕ f ʲ j a d ɔ̃ m
świadomie,ɕ f ʲ j a ˈ d ɔ̃ m ʲ j ɛ
świadomość,ɕ f ʲ j a ˈ d ɔ̃ m ɔ ɕ t͡ɕ
świadomy,ɕ f ʲ j a ˈ d ɔ̃ m ɨ
świat,ɕ f ʲ j a t
światek,ˈ ɕ f ʲ j a t ɛ k
światełko,ɕ f ʲ j a ˈ t ɛ w k ɔ
światopogląd,ɕ f ʲ j a t ɔ ˈ p ɔ ɡ l ɔ̃ n t
światopoglądowy,ɕ f ʲ j a t ɔ p ɔ ɡ l ɔ̃ n ˈ d ɔ v ɨ
światowy,ɕ f ʲ j a ˈ t ɔ v ɨ
światozar,ɕ f ʲ j a ˈ t ɔ z a r
światła,ˈ ɕ f ʲ j a t w a
światło,ˈ ɕ f ʲ j a t w ɔ
światłoczuły,ɕ f ʲ j a t w ɔ ˈ t͡ʂ u w ɨ
światłowstręt,ɕ f ʲ j a t ˈ w ɔ f s t r ɛ̃ n t
światłowód,ɕ f ʲ j a t ˈ w ɔ v u t
świderek,ɕ f ʲ i ˈ d ɛ r ɛ k
świderki,ɕ f ʲ i ˈ d ɛ r ʲ c i
świdnica,ɕ f ʲ i d ʲ ˈ ɲ i t͡s a
świdniczanin,ɕ f ʲ i d ʲ ɲ i ˈ t͡ʂ ã ɲ i n
świdniczanka,ɕ f ʲ i d ʲ ɲ i ˈ t͡ʂ ã n k a
świdwin,ˈ ɕ f ʲ i d v ʲ i n
świeca,ˈ ɕ f ʲ j ɛ t͡s a
świecenie,ɕ f ʲ j ɛ ˈ t͡s ɛ̃ ɲ ɛ
świecić,ˈ ɕ f ʲ j ɛ t͡ɕ i t͡ɕ
świecki,ˈ ɕ f ʲ j ɛ t͡s ʲ c i
świeczka,ˈ ɕ f ʲ j ɛ t͡ʂ k a
świecznik,ˈ ɕ f ʲ j ɛ t͡ʂ ʲ ɲ i k
świecę,ˈ ɕ f ʲ j ɛ t͡s ɛ
świekier,ˈ ɕ f ʲ j ɛ c ɛ r
świekra,ˈ ɕ f ʲ j ɛ k r a
świepot,ˈ ɕ f ʲ j ɛ p ɔ t
świerad,ˈ ɕ f ʲ j ɛ r a t
świergotać,ɕ f ʲ j ɛ r ˈ ɡ ɔ t a t͡ɕ
świerk,ɕ f ʲ j ɛ r k
świerkowy,ɕ f ʲ j ɛ r ˈ k ɔ v ɨ
świerszcz,ɕ f ʲ j ɛ r ʂ t͡ʂ
świerszczyk,ˈ ɕ f ʲ j ɛ r ʂ t͡ʂ ɨ k
świerzb,ɕ f ʲ j ɛ ʂ p
świerzop,ˈ ɕ f ʲ j ɛ ʐ ɔ p
świetlany,ɕ v ʲ ɛ ˈ t l a n ɨ
świetliczanka,ɕ f ʲ j ɛ t l ʲ i ˈ t͡ʂ ã n k a
świetlik,ˈ ɕ f ʲ j ɛ t l ʲ i k
świetlistoskrzydły,ɕ f ʲ j ɛ t l ʲ i s t ɔ ˈ s k ʂ ɨ d w ɨ
świetlistość,ɕ f ʲ j ɛ ˈ t l ʲ i s t ɔ ɕ t͡ɕ
świetnie,ˈ ɕ f ʲ j ɛ t ʲ ɲ ɛ
świetność,ˈ ɕ f ʲ j ɛ t n ɔ ɕ t͡ɕ
świetny,ˈ ɕ f ʲ j ɛ t n ɨ
świeść,ɕ f ʲ j ɛ ɕ t͡ɕ
świeżak,ˈ ɕ f ʲ j ɛ ʐ a k
świeżość,ˈ ɕ f ʲ j ɛ ʐ ɔ ɕ t͡ɕ
świeżusieńki,ɕ f ʲ j ɛ ʐ u ˈ ɕ ɛ̃ ɲ c i
świeżuteńki,ɕ f ʲ j ɛ ʐ u ˈ t ɛ̃ ɲ c i
świeżutki,ɕ f ʲ j ɛ ˈ ʐ u t ʲ c i
świeży,ˈ ɕ f ʲ j ɛ ʐ ɨ
świna,ˈ ɕ f ʲ i n a
świneczka,ɕ f ʲ i ˈ n ɛ t͡ʂ k a
świnia,ˈ ɕ f ʲ i ɲ a
świnia,ˈ ɕ f ʲ i ɲ ɛ
świniobicie,ɕ f ʲ i ɲ ɔ ˈ b ʲ i t͡ɕ ɛ
świniopas,ɕ f ʲ i ˈ ɲ ɔ p a s
świnka,ˈ ɕ f ʲ i n k a
świnoujski,ɕ f ʲ i n ɔ ˈ s u p w s u p u j s ʲ c i
świnoujścianin,ɕ f ʲ i n ɔ s u p w s u p u j ɕ ˈ t͡ɕ a ɲ i n
świnoujścianka,ɕ f ʲ i n ɔ s u p w s u p u j ɕ ˈ t͡ɕ ã n k a
świnoujście,ɕ f ʲ i n ɔ ˈ s u p w s u p u j ɕ t͡ɕ ɛ
świostka,ˈ ɕ f ʲ j ɔ s t k a
świr,ɕ f ʲ i r
świstak,ˈ ɕ f ʲ i s t a k
świstek,ˈ ɕ f ʲ i s t ɛ k
świstun,ˈ ɕ f ʲ i s t ũ n
świszczypała,ɕ f ʲ i ʂ t͡ʂ ɨ ˈ p a w a
świt,ɕ f ʲ i t
świta,ˈ ɕ f ʲ i t a
ać,a t͡ɕ
a-moll,ˈ a m ɔ l
ała,ˈ a w a
ałtaj,ˈ a w t a j
ałtajski,a w ˈ t a j s ʲ c i
ałun,ˈ a w ũ n
aa,a ˈ
aaron,a ˈ r ɔ̃ n
abacysta,a b a ˈ t͡s ɨ s t a
abadan,a ˈ b a d ã n
abadanka,a b a ˈ d ã n k a
abadańczyk,a b a ˈ d ã j̃ ɲ t͡ʂ ɨ k
abadański,a b a ˈ d ã j̃ s ʲ c i
abaja,a ˈ b a j a
abak,ˈ a b a k
abaka,a ˈ b a k a
abakan,a ˈ b a k ã n
abakanka,a b a ˈ k ã n k a
abakawir,a b a ˈ k a v ʲ i r
abakańczyk,a b a ˈ k ã j̃ ɲ t͡ʂ ɨ k
abakański,a b a ˈ k ã j̃ s ʲ c i
abakować,a b a ˈ k ɔ v a t͡ɕ
abakuk,a ˈ b a k u k
abakus,a ˈ b a k u s
abalienacja,a b a l ʲ j ɛ̃ ˈ n a t͡s ʲ j a
abalone,a b a ˈ l ɔ̃ n ɛ
abandon,a ˈ b ã n d ɔ̃ n
abarot,a b a ˈ r ɔ t
abasiofilia,a b a s ʲ i ɔ ˈ f ʲ i l ʲ j a
abat,ˈ a b a t
abatacept,a b a ˈ t a t͡s ɛ p t
abaton,a ˈ b a t ɔ̃ n
abatysa,a b a ˈ t ɨ s a
abazja,a ˈ b a z ʲ j a
abażur,a ˈ b a ʐ u r
abażura,a b a ˈ ʐ u r a
abażurek,a b a ˈ ʐ u r ɛ k
abbacja,a b ˈ a t͡s ʲ j a
abbowie,a b ˈ ɔ v ʲ j ɛ
abbrewiator,a b r ɛ ˈ v ʲ j a t ɔ r
abc,a b ɛ ˈ t͡s ɛ
abchaski,a p ˈ x a s ʲ c i
abchaskojęzyczny,a p ˈ x a s k ɔ j ɛ̃ w̃ ˈ z ɨ t͡ʂ n ɨ
abchaz,ˈ a p x a s
abchazja,a p ˈ x a z ʲ j a
abchazka,a p ˈ x a s k a
abcug,ˈ a p t͡s u k
abcyksymab,a p t͡s ɨ ˈ k s ɨ m a p
abdankować,a b d ã ŋ ˈ k ɔ v a t͡ɕ
abderycki,a b d ɛ ˈ r ɨ t͡s ʲ c i
abderyta,a b d ɛ ˈ r ɨ t a
abdest,ˈ a b d ɛ s t
abdominalny,a b d ɔ̃ m ʲ i ˈ n a l n ɨ
abdominoplastyka,a b d ɔ̃ ˈ m ʲ i n ɔ ˈ p l a s t ɨ k a
abdon,ˈ a b d ɔ̃ n
abdukcja,a b ˈ d u k t͡s ʲ j a
abduktor,a b ˈ d u k t ɔ r
abdykacja,a b d ɨ ˈ k a t͡s ʲ j a
abdykacyjny,a b d ɨ k a ˈ t͡s ɨ j n ɨ
abdykowanie,a b d ɨ k ɔ ˈ v ã ɲ ɛ
abdykować,a b d ɨ ˈ k ɔ v a t͡ɕ
abdżad,ˈ a b d͡ʐ a t
abecadlarka,a b ɛ t͡s a ˈ d l a r k a
abecadlarz,a b ɛ ˈ t͡s a d l a ʂ
abecadlnik,a b ɛ ˈ t͡s a d l ʲ ɲ i k
abecadlny,a b ɛ ˈ t͡s a d l n ɨ
abecadło,a b ɛ ˈ t͡s a d w ɔ
abecadłowo,a b ɛ t͡s a d ˈ w ɔ v ɔ
abecadłowy,a b ɛ t͡s a d ˈ w ɔ v ɨ
abecedariusz,a b ɛ t͡s ɛ ˈ d a r ʲ j u ʂ
abel,ˈ a b ɛ l
abelard,a ˈ b ɛ l a r t
abelit,a ˈ b ɛ l ʲ i t
abelizaur,a b ɛ ˈ l ʲ i z a w r
abelsonit,a b ɛ l ˈ s ɔ̃ ɲ i t
abentajer,a b ɛ̃ n ˈ t a j ɛ r
aberdynka,a b ɛ r ˈ d ɨ ŋ k a
aberdyńczyk,a b ɛ r ˈ d ɨ j̃ ɲ t͡ʂ ɨ k
aberdyński,a b ɛ r ˈ d ɨ j̃ s ʲ c i
aberracja,a b ɛ r ˈ a t͡s ʲ j a
aberracja,a b ɛ r ˈ r a t͡s ʲ j a
abertam,a ˈ b ɛ r t ã m
abetalipoproteinemia,a b ɛ t a l ʲ i p ɔ p r ɔ t ɛ s u p j s u p i ˈ n ɛ̃ m ʲ j a
abhorencja,a p x ɔ ˈ r ɛ̃ n t͡s ʲ j a
abidżan,a b ʲ ˈ i d͡ʐ ã n
abidżan,ˈ a b ʲ i d͡ʐ ã n
abidżanka,a b ʲ i ˈ d͡ʐ ã n k a
abidżańczyk,a b ʲ i ˈ d͡ʐ ã j̃ ɲ t͡ʂ ɨ k
abidżański,a b ʲ i ˈ d͡ʐ ã j̃ s ʲ c i
abiecadło,a b ʲ j ɛ ˈ t͡s a d w ɔ
abietyna,a b ʲ j ɛ ˈ t ɨ n a
abietynowy,a b ʲ j ɛ t ɨ ˈ n ɔ v ɨ
abiogeneza,a b ʲ j ɔ ɡ ɛ̃ ˈ n ɛ z a
abiogenezo,a b ʲ j ɔ ɡ ɛ̃ ˈ n ɛ z ɔ
abiogenny,a b ʲ j ɔ ˈ ɡ ɛ̃ n ɨ
abiologia,a b ʲ j ɔ ˈ l ɔ ɡ ʲ j a
abioseston,a b ʲ j ɔ ˈ s ɛ s t ɔ̃ n
abiotyczny,a b ʲ j ɔ ˈ t ɨ t͡ʂ n ɨ
abioza,a ˈ b ʲ j ɔ z a
abis,ˈ a b ʲ i s
abisal,a ˈ b ʲ i s a l
abisalny,a b ʲ i ˈ s a l n ɨ
abisobiont,a b ʲ i ˈ s ɔ b ʲ j ɔ̃ n t
abisynia,a b ʲ i ˈ s ɨ ɲ j a
abisynka,a b ʲ i ˈ s ɨ n k a
abisyńczyk,a b ʲ i ˈ s ɨ j̃ ɲ t͡ʂ ɨ k
abisyński,a b ʲ i ˈ s ɨ j̃ s ʲ c i
abituria,a b ʲ i ˈ t u r ʲ j a
abiturient,a b ʲ i ˈ t u r ʲ j ɛ̃ n t
abiturientka,a b ʲ i t u r ʲ ˈ j ɛ̃ n t k a
abiudykacja,a b ʲ j u d ɨ ˈ k a t͡s ʲ j a
abiuracja,a b ʲ j u ˈ r a t͡s ʲ j a
ablacja,a b ˈ l a t͡s ʲ j a
ablaktacja,a b l a k ˈ t a t͡s ʲ j a
ablaktowanie,a b l a k t ɔ ˈ v ã ɲ ɛ
ablaktować,a b l a k ˈ t ɔ v a t͡ɕ
ablatyw,a b ˈ l a t ɨ f
ablegat,a b ˈ l ɛ ɡ a t
ablegier,a b ˈ l ɛ ɡ ʲ ɛ r
ablegierek,a b l ɛ ˈ ɡ ʲ ɛ r ɛ k
ablegrowanie,a b l ɛ ɡ r ɔ ˈ v ã ɲ ɛ
ablegrować,a b l ɛ ˈ ɡ r ɔ v a t͡ɕ
ablena,a b ˈ l ɛ̃ n a
ablucja,a b ˈ l u t͡s ʲ j a
ablutofobia,a b l u t ɔ ˈ f ɔ b ʲ j a
ablutomania,a b l u t ɔ̃ ˈ m ã ɲ j a
abnegaci,a b n ɛ ˈ ɡ a t͡ɕ i
abnegacja,a b n ɛ ˈ ɡ a t͡s ʲ j a
abnegat,a b ˈ n ɛ ɡ a t
abociem,a ˈ b ɔ t͡ɕ ɛ̃ m
aboim,a ˈ b ɔ s u p j s u p i m
abolicja,a b ɔ ˈ l ʲ i t͡s ʲ j a
abominacja,a b ɔ̃ m ʲ i ˈ n a t͡s ʲ j a
abominacyjny,a b ɔ̃ m ʲ i n a ˈ t͡s ɨ j n ɨ
abonament,a b ɔ̃ ˈ n ã m ɛ̃ n t
abonamentowy,a b ɔ̃ n ã m ɛ̃ n ˈ t ɔ v ɨ
abonent,a ˈ b ɔ̃ n ɛ̃ n t
abonentka,a b ɔ̃ ˈ n ɛ̃ n t k a
abonować,a b ɔ̃ ˈ n ɔ v a t͡ɕ
aboralny,a b ɔ ˈ r a l n ɨ
aborcja,a ˈ b ɔ r t͡s ʲ j a
aborcyjny,a b ɔ r ˈ t͡s ɨ j n ɨ
abordaż,a ˈ b ɔ r d a ʂ
abordażowy,a b ɔ r d a ˈ ʐ ɔ v ɨ
abort,ˈ a b ɔ r t
aborygen,a b ɔ ˈ r ɨ ɡ ɛ̃ n
abowiem,a ˈ b ɔ v ʲ j ɛ̃ m
aboś,ˈ a b ɔ ɕ
abp,a r t͡s ɨ ˈ b ʲ i s k u p
abraham,a b ˈ r a x ã m
abrahamowy,a b r a x ã ˈ m ɔ v ɨ
abrakadabra,a b r a k a ˈ d a b r a
abram,ˈ a b r ã m
abramczyk,a b ˈ r ã m t͡ʂ ɨ k
abramowianin,a b r ã m ɔ ˈ v ʲ j a ɲ i n
abramowianka,a b r ã m ɔ ˈ v ʲ j ã ŋ k a
abramowice,a b r ã m ɔ ˈ v ʲ i t͡s ɛ
abramowski,a b r ã ˈ m ɔ f s ʲ c i
abramów,a b ˈ r ã m u f
abrazja,a b ˈ r a z ʲ j a
abrewiacja,a b r ɛ ˈ v ʲ j a t͡s ʲ j a
abrewiatura,a b r ɛ v ʲ j a ˈ t u r a
abrewiologia,a b r ɛ v ʲ j ɔ ˈ l ɔ ɡ ʲ j a
abriktozaur,a b r ʲ i k ˈ t ɔ z a w r
abrogacja,a b r ɔ ˈ ɡ a t͡s ʲ j a
abros,ˈ a b r ɔ s
abruzja,a b ˈ r u z ʲ j a
abruzyjczyk,a b r u ˈ z ɨ j t͡ʂ ɨ k
abruzyjka,a b r u ˈ z ɨ j k a
abruzyjski,a b r u ˈ z ɨ j s ʲ c i
abrys,ˈ a b r ɨ s
abs,a b ɛ ˈ s
absces,ˈ a p s t͡s ɛ s
absencja,a p ˈ s ɛ̃ n t͡s ʲ j a
absenteizm,a p s ɛ̃ n ˈ t ɛ s u p j s u p i s m̥
absmak,ˈ a p s m a k
absolucja,a p s ɔ ˈ l u t͡s ʲ j a
absolut,a p ˈ s ɔ l u t
absolutnie,a p s ɔ ˈ l u t ʲ ɲ ɛ
absolutny,a p s ɔ ˈ l u t n ɨ
absolutorium,a p s ɔ l u ˈ t ɔ r ʲ j ũ m
absolutyzacja,a p s ɔ l u t ɨ ˈ z a t͡s ʲ j a
absolutyzm,a p s ɔ ˈ l u t ɨ s m̥
absolwent,a p ˈ s ɔ l v ɛ̃ n t
absolwentka,a p s ɔ l ˈ v ɛ̃ n t k a
absolwowanie,a p s ɔ l v ɔ ˈ v ã ɲ ɛ
absolwować,a p s ɔ l ˈ v ɔ v a t͡ɕ
absorbat,a p ˈ s ɔ r b a t
absorbent,a p ˈ s ɔ r b ɛ̃ n t
absorber,a p ˈ s ɔ r b ɛ r
absorbowanie,a p s ɔ r b ɔ ˈ v ã ɲ ɛ
absorbować,a p s ɔ r ˈ b ɔ v a t͡ɕ
absorpcja,a p ˈ s ɔ r p t͡s ʲ j a
absorpcyjny,a p s ɔ r p ˈ t͡s ɨ j n ɨ
abstrahowanie,a p s t r a x ɔ ˈ v ã ɲ ɛ
abstrahować,a p s t r a ˈ x ɔ v a t͡ɕ
abstrakcja,a p s ˈ t r a k t͡s ʲ j a
abstrakcyjny,a p s t r a k ˈ t͡s ɨ j n ɨ
abstrakt,ˈ a p s t r a k t
abstynencja,a p s t ɨ ˈ n ɛ̃ n t͡s ʲ j a
abstynent,a p s ˈ t ɨ n ɛ̃ n t
absurd,ˈ a p s u r t
absurdalnie,a p s u r ˈ d a l ʲ ɲ ɛ
absurdalny,a p s u r ˈ d a l n ɨ
absyda,a p ˈ s ɨ d a
absynt,ˈ a p s ɨ n t
abszlag,ˈ a p ʂ l a k
abszmak,ˈ a p ʂ m a k
abszminka,a p ˈ ʂ m ʲ i n k a
absztychować,a p ʂ t ɨ ˈ x ɔ v a t͡ɕ
absztyfikant,a p ʂ t ɨ ˈ f ʲ i k ã n t
abszyt,ˈ a p ʂ ɨ t
abszytowanie,a p ʂ ɨ t ɔ ˈ v ã ɲ ɛ
abszytować,a p ʂ ɨ ˈ t ɔ v a t͡ɕ
abucht,ˈ a b u x t
abudża,a ˈ b u d͡ʐ a
abudżanka,a b u ˈ d͡ʐ ã n k a
abudżańczyk,a b u ˈ d͡ʐ ã j̃ ɲ t͡ʂ ɨ k
abudżański,a b u ˈ d͡ʐ ã j̃ s ʲ c i
abudżyjczyk,a b u ˈ d͡ʐ ɨ j t͡ʂ ɨ k
abudżyjka,a b u ˈ d͡ʐ ɨ j k a
abudżyjski,a b u ˈ d͡ʐ ɨ j s ʲ c i
abulia,a ˈ b u l ʲ j a
abuliczka,a b u ˈ l ʲ i t͡ʂ k a
abulik,a ˈ b u l ʲ i k
abundyzm,a ˈ b ũ n d ɨ s m̥
abur,ˈ a b u r
abuzabijczyk,a b u z a ˈ b ʲ i j t͡ʂ ɨ k
abuzabijka,a b u z a ˈ b ʲ i j k a
abuzabijski,a b u z a ˈ b ʲ i j s ʲ c i
abwehra,a b ˈ v ɛ r a
abwera,a b ˈ v ɛ r a
abwilczyk,a b ˈ v ʲ i l t͡ʂ ɨ k
aby,ˈ a b ɨ
abychom,a ˈ b ɨ x ɔ̃ m
abysal,a ˈ b ɨ s a l
abysalny,a b ɨ ˈ s a l n ɨ
ac,a t͡s
ac,a ˈ t͡s ɛ
acan,ˈ a t͡s ã n
accelerando,a k t͡s ɛ l ɛ ˈ r ã n d ɔ
acefalia,a t͡s ɛ ˈ f a l ʲ j a
acenaften,a t͡s ɛ̃ ˈ n a f t ɛ̃ n
acerola,a t͡s ɛ ˈ r ɔ l a
acetal,a ˈ t͡s ɛ t a l
acetalowy,a t͡s ɛ t a ˈ l ɔ v ɨ
acetamid,a t͡s ɛ ˈ t ã m ʲ i t
acetanilid,a t͡s ɛ t ã ˈ ɲ i l ʲ i t
acetofenon,a t͡s ɛ t ɔ ˈ f ɛ̃ n ɔ̃ n
aceton,a ˈ t͡s ɛ t ɔ̃ n
acetylen,a t͡s ɛ ˈ t ɨ l ɛ̃ n
ach,a x
achaj,ˈ a x a j
achaja,a ˈ x a j a
achajczyk,a ˈ x a j t͡ʂ ɨ k
achajka,a ˈ x a j k a
achajski,a ˈ x a j s ʲ c i
achać,ˈ a x a t͡ɕ
achitofel,a ɣ i ˈ t ɔ f ɛ l
achondryt,a ˈ x ɔ̃ n d r ɨ t
achroit,a x ˈ r ɔ s u p j s u p i t
achromat,a x ˈ r ɔ̃ m a t
achtel,ˈ a x t ɛ l
achterluk,a x ˈ t ɛ r l u k
achy,ˈ a x ɨ
acumen,a ˈ k ũ m ɛ̃ n
acz,a t͡ʂ
aczci,ˈ a t͡ʂ ʲ t͡ɕ i
aczkole,a t͡ʂ ˈ k ɔ l ɛ
aczkolwiek,a t͡ʂ ˈ k ɔ l v ʲ j ɛ k
aczle,ˈ a t͡ʂ l ɛ
ada,ˈ a d a
adalbert,a ˈ d a l b ɛ r t
adam,ˈ a d ã m
adamaszek,a d ã ˈ m a ʂ ɛ k
adamawa,a d ã ˈ m a v a
adamin,a ˈ d ã m ʲ i n
adamowianin,a d ã m ɔ ˈ v ʲ j a ɲ i n
adamowianka,a d ã m ɔ ˈ v ʲ j ã ŋ k a
adamowice,a d ã m ɔ ˈ v ʲ i t͡s ɛ
adamowicki,a d ã m ɔ ˈ v ʲ i t͡s ʲ c i
adamowiczanin,a d ã m ɔ v ʲ i ˈ t͡ʂ ã ɲ i n
adamowiczanka,a d ã m ɔ v ʲ i ˈ t͡ʂ ã ŋ k a
adamowski,a d ã ˈ m ɔ f s ʲ c i
adamowy,a d ã ˈ m ɔ v ɨ
adampol,a ˈ d ã m p ɔ l
adampolanin,a d ã m p ɔ ˈ l ã ɲ i n
adampolanka,a d ã m p ɔ ˈ l ã n k a
adampolski,a d ã m ˈ p ɔ l s ʲ c i
adamsyt,a ˈ d ã m s ɨ t
adamów,a ˈ d ã m u f
adamówczanin,a d ã m u f ˈ t͡ʂ ã ɲ i n
adamówczanka,a d ã m u f ˈ t͡ʂ ã ŋ k a
adamówecki,a d ã m u ˈ v ɛ t͡s ʲ c i
adamówka,a d ã ˈ m u f k a
adana,a ˈ d ã n a
adanka,a ˈ d ã ŋ k a
adaptacja,a d a p ˈ t a t͡s ʲ j a
adaptator,a d a p ˈ t a t ɔ r
adapter,a ˈ d a p t ɛ r
adapterowy,a d a p t ɛ ˈ r ɔ v ɨ
adaptowanie,a d a p t ɔ ˈ v ã ɲ ɛ
adaptować,a d a p ˈ t ɔ v a t͡ɕ
adańczyk,a ˈ d ã j̃ ɲ t͡ʂ ɨ k
adański,a ˈ d ã j̃ s ʲ c i
adaś,ˈ a d a ɕ
addendum,a d ˈ ɛ̃ n d ũ m
adekwatność,a d ɛ ˈ k f a t n ɔ ɕ t͡ɕ
adekwatny,a d ɛ ˈ k f a t n ɨ
adela,a ˈ d ɛ l a
adelajda,a d ɛ ˈ l a j d a
adelina,a d ɛ ˈ l ʲ i n a
adenoid,a d ɛ̃ ˈ n ɔ s u p j s u p i t
adept,ˈ a d ɛ p t
adeptka,a ˈ d ɛ p t k a
adherent,a t ˈ x ɛ r ɛ̃ n t
adiabata,a d ʲ j a ˈ b a t a
adiafora,a d ʲ j a ˈ f ɔ r a
adidas,a ˈ d ʲ i d a s
adideacja,a d ʲ i d ɛ ˈ a t͡s ʲ j a
adinol,a ˈ d ʲ i n ɔ l
adipocyt,a d ʲ i ˈ p ɔ t͡s ɨ t
adiudykacja,a d ʲ j u d ɨ ˈ k a t͡s ʲ j a
adiunkt,ˈ a d ʲ j ũ ŋ k t
adiustowanie,a d ʲ j u s t ɔ ˈ v ã ɲ ɛ
adiustować,a d ʲ j u ˈ s t ɔ v a t͡ɕ
adiutant,a ˈ d ʲ j u t ã n t
adiutantka,a d ʲ j u ˈ t ã n t k a
adjutoryzm,a d ʲ j u ˈ t ɔ r ɨ s m̥
adlatus,a ˈ d l a t u s
admin,ˈ a d m ʲ i n
administracja,a d m ʲ i ɲ i ˈ s t r a t͡s ʲ j a
administracyjnoprawny,a d m ʲ i ɲ i s t r a t͡s ɨ j n ɔ ˈ p r a v n ɨ
administracyjny,a d m ʲ i ɲ i s t r a ˈ t͡s ɨ j n ɨ
administrator,a d m ʲ i ɲ i ˈ s t r a t ɔ r
administratorka,a d m ʲ i ɲ i s t r a ˈ t ɔ r k a
administratorski,a d m ʲ i ɲ i s t r a ˈ t ɔ r s ʲ c i
administratorstwo,a d m ʲ i ɲ i s t r a ˈ t ɔ r s t f ɔ
administrowanie,a d m ʲ i ɲ i s t r ɔ ˈ v ã ɲ ɛ
administrować,a d m ʲ i ɲ i ˈ s t r ɔ v a t͡ɕ
adminka,a d ˈ m ʲ i ŋ k a
admiralicja,a d m ʲ i r a ˈ l ʲ i t͡s ʲ j a
admirator,a d m ʲ i ˈ r a t ɔ r
admirał,a d ˈ m ʲ i r a w
admonicja,a d m ɔ̃ ˈ ɲ i t͡s ʲ j a
admonicyja,a d m ɔ̃ ɲ i ˈ t͡s ɨ j a
adnotacja,a d n ɔ ˈ t a t͡s ʲ j a
adolf,ˈ a d ɔ l f
adonis,a ˈ d ɔ̃ ɲ i s
adopcja,a ˈ d ɔ p t͡s ʲ j a
adoptowanie,a d ɔ p t ɔ ˈ v ã ɲ ɛ
adoptować,a d ɔ p ˈ t ɔ v a t͡ɕ
adoracja,a d ɔ ˈ r a t͡s ʲ j a
adorator,a d ɔ ˈ r a t ɔ r
adoratorka,a d ɔ r a ˈ t ɔ r k a
adornowanie,a d ɔ r n ɔ ˈ v ã ɲ ɛ
adornować,a d ɔ r ˈ n ɔ v a t͡ɕ
adorowanie,a d ɔ r ɔ ˈ v ã ɲ ɛ
adorować,a d ɔ ˈ r ɔ v a t͡ɕ
adrenalina,a d r ɛ̃ n a ˈ l ʲ i n a
adres,ˈ a d r ɛ s
adresarka,a d r ɛ ˈ s a r k a
adresat,a ˈ d r ɛ s a t
adresatka,a d r ɛ ˈ s a t k a
adresować,a d r ɛ ˈ s ɔ v a t͡ɕ
adresowy,a d r ɛ ˈ s ɔ v ɨ
adresówka,a d r ɛ ˈ s u f k a
adrian,ˈ a d r ʲ j ã n
adriana,a ˈ d r ʲ j ã n a
adrianna,a ˈ d r ʲ j ã n a
adriatyk,a ˈ d r ʲ j a t ɨ k
adsorpcja,a t ˈ s ɔ r p t͡s ʲ j a
adular,a ˈ d u l a r
adwena,a d ˈ v ɛ̃ n a
adwent,ˈ a d v ɛ̃ n t
adwentnik,a d ˈ v ɛ̃ n t ʲ ɲ i k
adwentowy,a d v ɛ̃ n ˈ t ɔ v ɨ
adwentysta,a d v ɛ̃ n ˈ t ɨ s t a
adwentystka,a d v ɛ̃ n ˈ t ɨ s t k a
adwersarz,a d ˈ v ɛ r s a ʂ
adwokacja,a d v ɔ ˈ k a t͡s ʲ j a
adwokat,a d ˈ v ɔ k a t
