čač,t͡ʃ a t͡ʃ
čtyřiaosmdesátiletý,t͡ʃ t ɪ r̝ ɪ a ɔ s ʊ m d ɛ s aː c ɪ l ɛ t iː
čtyřiapadesátileté,t͡ʃ t ɪ r̝ ɪ a p a d ɛ s aː c ɪ l ɛ t ɛː
čtyřiapadesátiletého,t͡ʃ t ɪ r̝ ɪ a p a d ɛ s aː c ɪ l ɛ t ɛː ɦ ɔ
čtyřiapadesátiletý,t͡ʃ t ɪ r̝ ɪ a p a d ɛ s aː c ɪ l ɛ t iː
čtyřiasedmdesátiletou,t͡ʃ t ɪ r̝ ɪ a s e d m̩ d ɛ s aː c ɪ l ɛ t ɔ ʊ̯
čtyřiasedmdesátiletou,t͡ʃ t ɪ r̝ ɪ a s e d ʊ m d ɛ s aː c ɪ l ɛ t ɔ ʊ̯
čtyřiasedmdesátiletý,t͡ʃ t ɪ r̝ ɪ a s e d m̩ d ɛ s aː c ɪ l ɛ t iː
čtyřiasedmdesátiletý,t͡ʃ t ɪ r̝ ɪ a s e d ʊ m d ɛ s aː c ɪ l ɛ t iː
čtyřiatřicet,t͡ʃ t ɪ r̝ ɪ a t r̝̊ ɪ t͡s ɛ t
čtyřiatřicetiletou,t͡ʃ t ɪ r̝ ɪ a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t ɔ ʊ̯
čtyřiatřicetileté,t͡ʃ t ɪ r̝ ɪ a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t ɛː
čtyřiatřicetiletý,t͡ʃ t ɪ r̝ ɪ a t r̝̊ ɪ t͡s ɛ c ɪ l ɛ t iː
čtyřiačtyřicetiletou,t͡ʃ t ɪ r̝ ɪ a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t ɔ ʊ̯
čtyřiačtyřicetiletý,t͡ʃ t ɪ r̝ ɪ a t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
čtyřiašedesát,t͡ʃ t ɪ r̝ ɪ a ʃ ɛ d ɛ s aː t
čtyřicet,t͡ʃ t ɪ r̝ ɪ t͡s ɛ t
čtyřicetihodinový,t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ ɦ ɔ ɟ ɪ n ɔ v iː
čtyřicetiletého,t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t ɛː ɦ ɔ
čtyřicetiletému,t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t ɛː m ʊ
čtyřicetiletý,t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ l ɛ t iː
čtyřicetiprocentní,t͡ʃ t ɪ r̝ ɪ t͡s ɛ c ɪ p r ɔ t͡s ɛ n t ɲ iː
čtyřicátník,t͡ʃ t ɪ r̝ ɪ t͡s aː t ɲ iː k
čtyřicátý,t͡ʃ t ɪ r̝ ɪ t͡s aː t iː
čtyřicítka,ˈ t͡ʃ t ɪ r̝ ɪ t͡s iː t k a
čtyřikrát,ˈ t͡ʃ t ɪ r̝ ɪ k r aː t
čtyřkilometrová,t͡ʃ t ɪ r̝̊ k ɪ l ɔ m ɛ t r ɔ v aː
čtyřkilometrového,t͡ʃ t ɪ r̝̊ k ɪ l ɔ m ɛ t r ɔ v ɛː ɦ ɔ
čtyřkilometrový,t͡ʃ t ɪ r̝̊ k ɪ l ɔ m ɛ t r ɔ v iː
čtyřkolový,t͡ʃ t ɪ r̝̊ k ɔ l ɔ v iː
čtyřkolý,t͡ʃ t ɪ r̝̊ k ɔ l iː
čtyřkoruna,t͡ʃ t ɪ r̝̊ k ɔ r ʊ n a
čtyřkorunu,t͡ʃ t ɪ r̝̊ k ɔ r ʊ n ʊ
čtyřletá,t͡ʃ t ɪ r̝ l ɛ t aː
čtyřletého,t͡ʃ t ɪ r̝ l ɛ t ɛː ɦ ɔ
čtyřletému,t͡ʃ t ɪ r̝ l ɛ t ɛː m ʊ
čtyřletý,t͡ʃ t ɪ r̝ l ɛ t iː
čtyřlistý,t͡ʃ t ɪ r̝̊ l ɪ s t iː
čtyřma,t͡ʃ t ɪ r̝ m a
čtyřmecítma,t͡ʃ t ɪ r̝ m ɛ t͡s iː t m a
čtyřmi,t͡ʃ t ɪ r̝ m ɪ
čtyřmilionový,t͡ʃ t ɪ r̝ m ɪ l ɪ j ɔ n ɔ v iː
čtyřměsíční,t͡ʃ t ɪ r̝ m ɲ ɛ s iː t͡ʃ ɲ iː
čtyřnohých,t͡ʃ t ɪ r̝ n ɔ ɦ iː x
čtyřnásobná,t͡ʃ t ɪ r̝ n aː s ɔ b n aː
čtyřnásobné,t͡ʃ t ɪ r̝ n aː s ɔ b n ɛː
čtyřnásobný,t͡ʃ t ɪ r̝ n aː s ɔ b n iː
čtyřpatrové,t͡ʃ t ɪ r̝̊ p a t r ɔ v ɛː
čtyřpatrový,t͡ʃ t ɪ r̝̊ p a t r ɔ v iː
čtyřpodlažní,t͡ʃ t ɪ r̝̊ p ɔ d l a ʒ ɲ iː
čtyřprocentní,ˈ t͡ʃ t ɪ r̝̊ p r ɔ t͡s ɛ n t ɲ iː
čtyřproudová,t͡ʃ t ɪ r̝̊ p r ɔ ʊ̯ d ɔ v aː
čtyřproudové,t͡ʃ t ɪ r̝̊ p r ɔ ʊ̯ d ɔ v ɛː
čtyřproudový,t͡ʃ t ɪ r̝̊ p r ɔ ʊ̯ d ɔ v iː
čtyřspřeží,t͡ʃ t ɪ r̝̊ s p r̝̊ ɛ ʒ iː
čtyřstrunný,t͡ʃ t ɪ r̝̊ s t r ʊ n iː
čtyřstý,t͡ʃ t ɪ r̝̊ s t iː
čtyřstěn,t͡ʃ t ɪ r̝̊ s c ɛ n
čtyřuchý,t͡ʃ t ɪ r̝̊ ʔ ʊ x iː
čtyřválcový,t͡ʃ t ɪ r̝ v aː l t͡s ɔ v iː
čtyřzápasové,t͡ʃ t ɪ r̝ z aː p a s ɔ v ɛː
čtyřzápasový,t͡ʃ t ɪ r̝ z aː p a s ɔ v iː
čtyřúhelník,t͡ʃ t ɪ r̝ uː ɦ ɛ l ɲ iː k
čtyrmecítma,t͡ʃ t ɪ r m ɛ t͡s iː t m a
čtyry,t͡ʃ t ɪ r ɪ
čtyrúhelník,t ʃ t ɪ r uː ɦ ɛ l ɲ iː k
čuba,ˈ t͡ʃ ʊ b a
čubka,t͡ʃ ʊ p k a
čubrnět,t͡ʃ ʊ b r̩ ɲ ɛ t
čubu,t͡ʃ ʊ b ʊ
čuchonský,t͡ʃ ʊ x ɔ n s k iː
čudla,t͡ʃ ʊ d l a
čukotka,t͡ʃ ʊ k ɔ t k a
čukotský,t͡ʃ ʊ k ɔ t s k iː
čuma,t͡ʃ ʊ m a
čumkarta,t͡ʃ ʊ m k a r t a
čumpelík,ˈ t͡ʃ ʊ m p ɛ l iː k
čumák,t͡ʃ ʊ m aː k
čumáček,ˈ t͡ʃ ʊ m aː t͡ʃ ɛ k
čumět,t͡ʃ ʊ m ɲ ɛ t
čundrák,t͡ʃ ʊ n d r aː k
čuni,t͡ʃ ʊ ɲ ɪ
čuně,ˈ t͡ʃ ʊ ɲ ɛ
čupastý,t͡ʃ ʊ p a s t iː
čupka,t͡ʃ ʊ p k a
čurat,t͡ʃ ʊ r a t
čurbes,t͡ʃ ʊ r b ɛ s
čurina,t͡ʃ ʊ r ɪ n a
čurněký,ˈ t͡ʃ ʊ r ɲ ɛ k iː
čurpauza,t͡ʃ ʊ r p a ʊ̯ z a
čurák,t͡ʃ ʊ r aː k
čurání,t͡ʃ ʊ r aː ɲ iː
čutora,t͡ʃ ʊ t ɔ r a
čuč,t͡ʃ ʊ t͡ʃ
čučet,t͡ʃ ʊ t͡ʃ ɛ t
čučkař,t ʃ ʊ t ʃ k a r̝̊
čuňa,t͡ʃ ʊ ɲ a
čuňák,t͡ʃ ʊ ɲ aː k
čuřidlo,ˈ t͡ʃ ʊ r̝ ɪ d l ɔ
čáka,t͡ʃ aː k a
čáp,t͡ʃ aː p
čápa,t͡ʃ aː p a
čápe,t͡ʃ aː p ɛ
čápech,t͡ʃ aː p ɛ x
čápem,t͡ʃ aː p ɛ m
čápi,t͡ʃ aː p ɪ
čápice,t͡ʃ aː p ɪ t͡s ɛ
čápovi,t͡ʃ aː p ɔ v ɪ
čápové,t͡ʃ aː p ɔ v ɛː
čápu,t͡ʃ aː p ʊ
čápy,t͡ʃ aː p ɪ
čápů,t͡ʃ aː p uː
čápům,t͡ʃ aː p uː m
čára,t͡ʃ aː r a
čárka,t͡ʃ aː r k a
čáro,t͡ʃ aː r ɔ
čárový,t͡ʃ aː r ɔ v iː
čáry,t͡ʃ aː r ɪ
čáslav,t͡ʃ aː s l a f
čáslavsko,ˈ t͡ʃ aː s l a f s k ɔ
čáslavský,t͡ʃ aː s l a f s k iː
část,t͡ʃ aː s t
částech,t͡ʃ aː s t ɛ x
částek,t͡ʃ aː s t ɛ k
částem,t͡ʃ aː s t ɛ m
částečný,t͡ʃ aː s t ɛ t͡ʃ n iː
částečných,t͡ʃ aː s t ɛ t͡ʃ n iː x
částečně,t͡ʃ aː s t ɛ t͡ʃ ɲ ɛ
části,t͡ʃ aː s c ɪ
částice,t͡ʃ aː s c ɪ t͡s ɛ
částka,t͡ʃ aː s t k a
částku,t͡ʃ aː s t k ʊ
částmi,t͡ʃ aː s t m ɪ
částí,t͡ʃ aː s c iː
čáčura,t͡ʃ aː t͡ʃ ʊ r a
čéška,t͡ʃ ɛː ʃ k a
čéškový,ˈ t͡ʃ ɛː ʃ k ɔ v iː
čí,t͡ʃ iː
číhat,ˈ t͡ʃ iː ɦ a t
číhá,ˈ t͡ʃ iː ɦ aː
čím,t͡ʃ iː m
čína,t͡ʃ iː n a
číno,t͡ʃ iː n ɔ
čínsky,t͡ʃ iː n s k ɪ
čínský,t͡ʃ iː n s k iː
čínských,t͡ʃ iː n s k iː x
číny,t͡ʃ iː n ɪ
číně,t͡ʃ iː ɲ ɛ
čínština,t͡ʃ iː n ʃ c ɪ n a
čípek,t͡ʃ iː p ɛ k
čírka,t͡ʃ iː r k a
číselka,t͡ʃ iː s ɛ l k a
číselník,t͡ʃ iː s ɛ l ɲ iː k
číselný,t͡ʃ iː s ɛ l n iː
čísi,t͡ʃ iː s ɪ
čísla,t͡ʃ iː s l a
číslice,t͡ʃ iː s l ɪ t͡s ɛ
číslo,t͡ʃ iː s l ɔ
číslovka,t͡ʃ iː s l ɔ f k a
číst,t͡ʃ iː s t
čísti,t͡ʃ iː s c ɪ
čítajíc,ˈ t͡ʃ iː t a j iː t͡s
číz,t͡ʃ iː s
čízy,t͡ʃ iː z ɪ
číč,t͡ʃ iː t͡ʃ
číča,t͡ʃ iː t͡ʃ a
číňan,t͡ʃ iː ɲ a n
číňanka,t͡ʃ iː ɲ a ŋ k a
číňanů,t͡ʃ iː ɲ a n uː
číši,t͡ʃ iː ʃ ɪ
číšnice,t͡ʃ iː ʃ ɲ ɪ t͡s ɛ
číšník,t͡ʃ iː ʃ ɲ iː k
číší,t͡ʃ iː ʃ iː
čížek,t͡ʃ iː ʒ ɛ k
čórka,t͡ʃ ɔː r k a
čúrat,t͡ʃ uː r a t
čúrák,t͡ʃ uː r aː k
čúza,t͡ʃ uː z a
ďaha,ɟ a ɦ a
ďarmoty,ɟ a r m ɔ t ɪ
ďobnout,ɟ ɔ b n ɔ ʊ̯ t
ďouče,ɟ ɔ ʊ̯ t͡ʃ ɛ
ďuričko,ɟ ʊ r ɪ t͡ʃ k o
ďábel,ɟ aː b ɛ l
ďáblice,ɟ aː b l ɪ t͡s ɛ
ďáblický,ɟ aː b l ɪ t s k iː
ďáblicích,ɟ aː b l ɪ t͡s iː x
ďáblík,ɟ aː b l iː k
ďáblův,ɟ aː b l uː f
ňader,ɲ a d ɛ r
ňadra,ˈ ɲ a d r a
ňadratý,ɲ a d r a t iː
ňadro,ɲ a d r ɔ
ňam,ɲ a m
ňouma,ɲ ɔ ʊ̯ m a
ňuk,ɲ ʊ k
ňáký,ɲ aː k iː
řach,r̝ a x
řacha,r̝ a x a
řad,r̝ a t
řada,r̝ a d a
řadicí,r̝ a ɟ ɪ t͡s iː
řadit,r̝ a ɟ ɪ t
řaditi,r̝ a ɟ ɪ c ɪ
řadou,r̝ a d ɔ ʊ̯
řadový,r̝ a d ɔ v iː
řadu,r̝ a d ʊ
řadí,r̝ a ɟ iː
řadící,r̝ a ɟ iː t͡s iː
řadě,r̝ a ɟ ɛ
řas,r̝ a s
řasa,r̝ a s a
řaď,r̝ a c
řeč,r̝ ɛ t͡ʃ
řečen,r̝ ɛ t͡ʃ ɛ n
řečena,r̝ ɛ t͡ʃ ɛ n a
řečeni,r̝ ɛ t͡ʃ ɛ ɲ ɪ
řečeno,r̝ ɛ t͡ʃ ɛ n ɔ
řečeny,r̝ ɛ t͡ʃ ɛ n ɪ
řeči,r̝ ɛ t͡ʃ ɪ
řečiště,ˈ r̝ ɛ t͡ʃ ɪ ʃ c ɛ
řečtina,r̝ ɛ t͡ʃ c ɪ n a
řeď,r̝ ɛ c
řeřavý,r̝ ɛ r̝ a v iː
řeřicha,r̝ ɛ r̝ ɪ x a
řeřichový,r̝ ɛ r̝ ɪ x ɔ v iː
řeš,r̝ ɛ ʃ
řešeno,r̝ ɛ ʃ ɛ n ɔ
řešení,r̝ ɛ ʃ ɛ ɲ iː
řešeto,r̝ ɛ ʃ ɛ t ɔ
řešila,r̝ ɛ ʃ ɪ l a
řešit,r̝ ɛ ʃ ɪ t
řešitelka,r̝ ɛ ʃ ɪ t ɛ l k a
řešte,ˈ r̝ ɛ ʃ t ɛ
řebčík,r̝ ɛ p t͡ʃ iː k
řebříček,r̝ ɛ b r̝ iː t͡ʃ ɛ k
řecko,r̝ ɛ t͡s k ɔ
řecku,r̝ ɛ t͡s k ʊ
řecky,ˈ r̝ ɛ t͡s k ɪ
řecký,r̝ ɛ t͡s k iː
ředidlo,r̝ ɛ ɟ ɪ d l ɔ
ředina,r̝ ɛ ɟ ɪ n a
ředit,r̝ ɛ ɟ ɪ t
ředitel,r̝ ɛ ɟ ɪ t ɛ l
ředitelce,r̝ ɛ ɟ ɪ t ɛ l t͡s ɛ
ředitelek,r̝ ɛ ɟ ɪ t ɛ l ɛ k
ředitelka,r̝ ɛ ɟ ɪ t ɛ l k a
ředitelkami,r̝ ɛ ɟ ɪ t ɛ l k a m ɪ
ředitelko,r̝ ɛ ɟ ɪ t ɛ l k ɔ
ředitelkou,r̝ ɛ ɟ ɪ t ɛ l k ɔ ʊ̯
ředitelku,r̝ ɛ ɟ ɪ t ɛ l k ʊ
ředitelky,r̝ ɛ ɟ ɪ t ɛ l k ɪ
ředitelkách,r̝ ɛ ɟ ɪ t ɛ l k aː x
ředitelkám,r̝ ɛ ɟ ɪ t ɛ l k aː m
ředitelův,r̝ ɛ ɟ ɪ t ɛ l uː f
ředkvička,r̝ ɛ t k v ɪ t͡ʃ k a
ředkvičkový,r̝ ɛ t k v ɪ t͡ʃ k ɔ v iː
řeholnice,r̝ ɛ ɦ ɔ l ɲ ɪ t͡s ɛ
řeholní,r̝ ɛ ɦ ɔ l ɲ iː
řehoř,r̝ ɛ ɦ ɔ r̝̊
řehořka,r̝ ɛ ɦ ɔ r̝̊ k a
řehtačka,r̝ ɛ x t a t͡ʃ k a
řek,r̝ ɛ k
řeka,r̝ ɛ k a
řekl,r̝ ɛ k l̩
řekla,r̝ ɛ k l a
řekli,r̝ ɛ k l ɪ
řeklo,r̝ ɛ k l ɔ
řekly,r̝ ɛ k l ɪ
řekne,r̝̊ ɛ k n ɛ
řekneme,r̝̊ ɛ k n ɛ m ɛ
řeknete,r̝̊ ɛ k n ɛ t ɛ
řekneš,r̝̊ ɛ k n ɛ ʃ
řekni,ˈ r̝ ɛ k ɲ ɪ
řeknou,r̝̊ ɛ k n ɔ ʊ̯
řeknu,r̝̊ ɛ k n ʊ
řekněme,ˈ r̝ ɛ k ɲ ɛ m ɛ
řekněte,r̝̊ ɛ k ɲ ɛ t ɛ
řekové,r̝ ɛ k ɔ v ɛː
řeku,r̝ ɛ k ʊ
řeky,r̝ ɛ k ɪ
řekyně,r̝ ɛ k ɪ ɲ ɛ
řekách,r̝ ɛ k aː x
řeků,r̝ ɛ k uː
řemdih,r̝ ɛ m ɟ ɪ x
řemen,r̝ ɛ m ɛ n
řemení,r̝ ɛ m ɛ ɲ iː
řemeslník,r̝ ɛ m ɛ s l̩ ɲ iː k
řemeslo,r̝ ɛ m ɛ s l ɔ
řemínky,r̝ ɛ m iː ŋ k ɪ
řep,r̝ ɛ p
řepa,r̝ ɛ p a
řepami,r̝ ɛ p a m ɪ
řepka,r̝ ɛ p k a
řepka,ˈ r̝ ɛ p k a
řepky,r̝ ɛ p k ɪ
řepný,r̝ ɛ p n iː
řeporyje,r̝ ɛ p ɔ r ɪ j ɛ
řepách,r̝ ɛ p aː x
řetěz,r̝ ɛ c ɛ s
řetězce,r̝ ɛ c ɛ s t͡s ɛ
řev,r̝ ɛ f
řevničov,r̝ ɛ v ɲ ɪ t͡ʃ ɔ f
řevničovu,r̝ ɛ v ɲ ɪ t͡ʃ ɔ v ʊ
řez,r̝ ɛ s
řezat,r̝ ɛ z a t
řezbář,r̝ ɛ z b aː r̝̊
řezenský,r̝ ɛ z ɛ n s k iː
řezno,r̝ ɛ z n ɔ
řezník,r̝ ɛ z ɲ iː k
řezníkův,r̝ ɛ z ɲ iː k uː f
řezák,r̝ ɛ z aː k
řež,r̝ ɛ ʃ
řeže,r̝ ɛ ʒ ɛ
řežte,r̝ ɛ ʃ t ɛ
řidič,ˈ r̝ ɪ ɟ ɪ t͡ʃ
řidiče,r̝ ɪ ɟ ɪ t͡ʃ ɛ
řidiči,r̝ ɪ ɟ ɪ t͡ʃ ɪ
řidičák,r̝ ɪ ɟ ɪ t͡ʃ aː k
řidičích,r̝ ɪ ɟ ɪ t͡ʃ iː x
řidičů,r̝ ɪ ɟ ɪ t͡ʃ uː
řidičům,r̝ ɪ ɟ ɪ t͡ʃ uː m
řidičův,r̝ ɪ ɟ ɪ t͡ʃ uː f
řimbabový,r̝ ɪ m b a b ɔ v iː
řitní,r̝ ɪ t ɲ iː
řič,r̝ ɪ t͡ʃ
řiď,r̝ ɪ c
řiň,r̝ ɪ ɲ
řiť,r̝ ɪ c
řiťolezec,ˈ r̝ ɪ c ɔ l ɛ z ɛ t͡s
řiťopich,r̝ ɪ c ɔ p ɪ x
řka,r̝̊ k a
řkouc,r̝̊ k ɔ ʊ̯ t͡s
řkouce,r̝̊ k ɔ ʊ̯ t͡s ɛ
řopík,r̝ ɔ p iː k
řve,r̝ v ɛ
řvi,r̝ v ɪ
řvu,r̝ v ʊ
řvát,r̝ v aː t
řváti,r̝ v aː c ɪ
řácky,r̝ aː t͡s k ɪ
řád,r̝ aː t
řádek,r̝ aː d ɛ k
řádem,r̝ aː d ɛ m
řádili,r̝ aː ɟ ɪ l ɪ
řádit,r̝ aː ɟ ɪ t
řáditi,r̝ aː ɟ ɪ c ɪ
řádka,r̝ aː t k a
řádkování,r̝ aː t k ɔ v aː ɲ iː
řádnou,r̝ aː d n ɔ ʊ̯
řádný,r̝ aː d n iː
řádnými,r̝ aː d n iː m ɪ
řádně,r̝ aː d ɲ ɛ
řádové,r̝ aː d ɔ v ɛː
řádí,r̝ aː ɟ iː
řádě,r̝ aː ɟ ɛ
říci,r̝ iː t͡s ɪ
říct,r̝ iː t͡s t
řídeč,r̝ iː d ɛ t͡ʃ
řídečský,r̝ iː d ɛ t͡ʃ s k iː
řídil,r̝ iː ɟ ɪ l
řídila,r̝ iː ɟ ɪ l a
řídit,r̝ iː ɟ ɪ t
řídivši,r̝ iː ɟ ɪ f ʃ ɪ
řídký,r̝ iː t k iː
řídíc,r̝ iː ɟ iː t͡s
řídíce,r̝ iː ɟ iː t͡s ɛ
řídící,r̝ iː ɟ iː t s iː
řídítka,r̝ iː ɟ iː t k a
řídě,r̝ iː ɟ ɛ
říha,ˈ r̝ iː ɦ a
říje,r̝ iː j ɛ
říjen,r̝ iː j ɛ n
října,r̝ iː j n a
říjnový,r̝ iː j n ɔ v iː
říjnových,r̝ iː j n ɔ v iː x
říkadlo,ˈ r̝ iː k a d l ɔ
říkají,r̝ iː k a j iː
říkajíc,r̝ iː k a j iː t͡s
říkala,r̝ iː k a l a
říkat,r̝ iː k a t
říká,r̝ iː k aː
říkám,r̝ iː k aː m
říkáte,r̝ iː k aː t ɛ
říkával,r̝̊ iː k aː v a l
říkávat,r̝ iː k aː v a t
říkávati,r̝ iː k aː v a c ɪ
řím,r̝ iː m
říman,r̝ iː m a n
římanka,r̝ iː m a n k a
římanův,r̝ iː m a n uː f
římskokatolický,r̝ iː m s k ɔ k a t ɔ l ɪ t͡s k iː
římský,r̝ iː m s k iː
říp,r̝ iː p
řípa,r̝ iː p a
říz,r̝ iː s
říza,r̝ iː z a
řízek,ˈ r̝ iː z ɛ k
řízenou,r̝ iː z ɛ n ɔ ʊ̯
řízení,r̝ iː z ɛ ɲ iː
řízený,r̝ iː z ɛ n iː
řízků,r̝ iː s k uː
říčan,r̝ iː t͡ʃ a n
říčany,r̝ iː t͡ʃ a n ɪ
říčka,r̝ iː t͡ʃ k a
říčku,r̝ iː t͡ʃ k ʊ
říční,r̝ iː t͡ʃ ɲ iː
říčný,r̝ iː t͡ʃ n iː
říďa,r̝ iː ɟ a
říš,r̝ iː ʃ
říšského,r̝ iː ʃ s k ɛː ɦ ɔ
ač,a t͡ʃ
ačkoli,a t͡ʃ k ɔ l ɪ
ačkoliv,a t͡ʃ k ɔ l ɪ f
a,ʔ a
šňůrka,ʃ ɲ uː r k a
aš,a ʃ
šašek,ˈ ʃ a ʃ ɛ k
šaškec,ʃ a ʃ k ɛ t͡s
šaškárna,ˈ ʃ a ʃ k aː r n a
šabat,ˈ ʃ a b a t
šabes,ˈ ʃ a b ɛ s
šablona,ʃ a b l o n a
šach,ʃ a x
ašchabad,a ʃ x a b a t
aachen,aː x ɛ n
aachene,aː x ɛ n ɛ
aachenem,aː x ɛ n ɛ m
aachenský,aː x ɛ n s k iː
aachenu,aː x ɛ n ʊ
šachista,ʃ a x ɪ s t a
šachovnice,ʃ a x ɔ v ɲ ɪ t͡s ɛ
šachový,ʃ a x ɔ v iː
šachta,ʃ a x t a
šachy,ʃ a x ɪ
aacích,aː t͡s iː x
aše,a ʃ ɛ
šafron,ˈ ʃ a f r ɔ n
šafrán,ˈ ʃ a f r aː n
šafránek,ˈ ʃ a f r aː n ɛ k
šafránková,ˈ ʃ a f r aː ŋ k ɔ v aː
šafář,ʃ a f aː r̝̊
šajtle,ʃ a j t l ɛ
šajánek,ʃ a j aː n ɛ k
aak,aː k
šakal,ʃ a k a l
šakalice,ʃ a k a l ɪ ɪ t͡s ɛ
aakem,aː k ɛ m
aaku,aː k ʊ
aaky,aː k ɪ
aaků,aː k uː
aakům,aː k uː m
šalamoun,ʃ a l a m ɔ ʊ̯ n
šalamounův,ʃ a l a m ɔ ʊ̯ n uː f
šalanda,ʃ a l a n d a
šalina,ʃ a l ɪ n a
šalinkarta,ʃ a l ɪ ŋ k a r t a
šalmaj,ʃ a l m a j
šalmajový,ʃ a l m a j ɔ v iː
šalomounek,ʃ a l ɔ m ɔ ʊ̯ n ɛ k
šalotka,ʃ a l ɔ t k a
šalotkový,ʃ a l ɔ t k ɔ v iː
šaltpáka,ʃ a l t p aː k a
šalvěj,ʃ a l v j ɛ j
šalvějový,ʃ a l v j ɛ j ɔ v iː
šames,ʃ a m ɛ s
šampalík,ʃ a m p a l iː k
šampaňské,ʃ a m p a ɲ s k ɛː
šampaňský,ʃ a m p a ɲ s k iː
šampionka,ʃ a m p ɪ ɔ ŋ k a
šampionát,ʃ a m p ɪ ɔ n aː t
šampionátu,ʃ a m p ɪ ɔ n aː t ʊ
šampon,ˈ ʃ a m p ɔ n
šampus,ʃ a m p ʊ s
šampuska,ʃ a m p ʊ s k a
šampónek,ˈ ʃ a m p ɔː n e k
šamrle,ˈ ʃ a m r̩ l ɛ
šamstr,ˈ ʃ a m s t r̩
šamánek,ʃ a m aː n ɛ k
šance,ʃ a n t͡s ɛ
šanci,ʃ a n t͡s ɪ
šandár,ʃ a n d a r
šanghaj,ʃ a ŋ ɡ ɦ a j
šanon,ʃ a n ɔ n
šanovat,ʃ a n ɔ v a t
šanson,ˈ ʃ a n s ɔ n
šanta,ʃ a n t a
šapitó,ʃ a p ɪ t ɔː
šarivari,ʃ a r ɪ v a r ɪ
šarka,ʃ a r k a
šarlatový,ʃ a r l a t ɔ v iː
šarlatánův,ʃ a r l a t aː n uː f
šaryvary,ˈ ʃ a r ɪ v a r ɪ
ašsko,a ʃ s k ɔ
ašský,a ʃ s k iː
šat,ʃ a t
šatlava,ʃ a t l a v a
šatna,ʃ a t n a
šatny,t͡ʃ a t n ɪ
šatní,ʃ a t ɲ iː
šaton,ʃ a t ɔ n
šaty,ʃ a t ɪ
šavle,ʃ a v l ɛ
šavlenka,ʃ a v l ɛ ŋ k a
šavlička,ˈ ʃ a v l ɪ t͡ʃ k a
šavlový,ʃ a v l ɔ v iː
šavlozubý,ˈ ʃ a v l ɔ z ʊ b iː
ab,a p
abace,a b a t͡s ɛ
abacích,a b a t͡s iː x
abadon,a b a d ɔ n
abak,ˈ ʔ a b a k
abaka,a b a k a
abakami,a b a k a m ɪ
abakem,a b a k ɛ m
abako,a b a k ɔ
abakou,a b a k ɔ ʊ̯
abakoví,a b a k ɔ v iː
abakový,a b a k ɔ v iː
abaku,a b a k ʊ
abakus,a b a k ʊ s
abaky,a b a k ɪ
abakách,a b a k aː x
abakám,a b a k aː m
abaků,a b a k uː
abakům,a b a k uː m
abald,a b a l t
abalda,a b a l d a
abaldami,a b a l d a m ɪ
abaldo,a b a l d ɔ
abaldou,a b a l d ɔ ʊ̯
abaldu,a b a l d ʊ
abaldy,a b a l d ɪ
abaldách,a b a l d aː x
abaldám,a b a l d aː m
abaldě,a b a l ɟ ɛ
abalienace,a b a l ɪ j ɛ n a t͡s ɛ
abalienacemi,a b a l ɪ j ɛ n a t͡s ɛ m ɪ
abalienaci,a b a l ɪ j ɛ n a t͡s ɪ
abalienací,a b a l ɪ j ɛ n a t͡s iː
abalienacích,a b a l ɪ j ɛ n a t͡s iː x
abalienacím,a b a l ɪ j ɛ n a t͡s iː m
abandonování,ˈ ʔ a b a n d ɔ n ɔ v aː ɲ iː
abandonováních,a b a n d ɔ n ɔ v aː ɲ iː x
abandonováním,a b a n d ɔ n ɔ v aː ɲ iː m
abandonováními,a b a n d ɔ n ɔ v aː ɲ iː m ɪ
abas,a b a s
abatyše,a b a t ɪ ʃ ɛ
abatyšemi,ʔ a b a t ɪ ʃ ɛ m ɪ
abatyši,a b a t ɪ ʃ ɪ
abatyšský,a b a t ɪ ʃ s k iː
abatyší,a b a t ɪ ʃ iː
abatyších,a b a t ɪ ʃ iː x
abatyším,a b a t ɪ ʃ iː m
abaxiální,a b a k s ɪ j aː l ɲ iː
abazštin,a b a s ʃ c ɪ n
abazština,a b a s ʃ c ɪ n a
abazštinami,a b a s ʃ c ɪ n a m ɪ
abazštino,a b a s ʃ c ɪ n ɔ
abazštinou,a b a s ʃ c ɪ n ɔ ʊ̯
abazštinu,a b a s ʃ c ɪ n ʊ
abazštiny,a b a s ʃ c ɪ n ɪ
abazštinách,a b a s ʃ c ɪ n aː x
abazštinám,a b a s ʃ c ɪ n aː m
abazštině,a b a s ʃ c ɪ ɲ ɛ
abbozzo,ˈ ʔ a b ɔ t͡s ɔ
abbé,a b ɛː
abbéech,a b ɛː ɛ x
abbého,a b ɛː ɦ ɔ
abbém,a b ɛː m
abbému,a b ɛː m ʊ
abbéovský,ˈ ʔ a b ɛː ɔ f s k iː
