ăl,ə l
ștachetă,ʃ t a ˈ k e t ə
ștafetar,ʃ t a f e ˈ t a r
ștafetă,ʃ t a ˈ f e t ə
ștaif,ʃ t a j f
ștampila,ʃ t a m p i ˈ l a
ștampilare,ʃ t a m p i ˈ l a r e
ștampilat,ʃ t a m p i ˈ l a t
ștampilată,ʃ t a m p i ˈ l a t ə
ștampilă,ʃ t a m ˈ p i l ə
ștand,ʃ t a n d
ștanghire,ʃ t a n ˈ ɡ i r e
ștangă,ˈ ʃ t a n ɡ ə
ștanța,ʃ t a n ˈ t͡s a
ștanțare,ʃ t a n ˈ t͡s a r e
ștanțat,ʃ t a n ˈ t͡s a t
ștanțatoare,ʃ t a n t͡s a ˈ t o̯ a r e
ștanțator,ʃ t a n t͡s a ˈ t o r
ștanță,ˈ ʃ t a n t͡s ə
ștat,ʃ t a t
ștaufer,ˈ ʃ t a w f e r
șteamp,ʃ t e̯ a m p
șteap,ʃ t e̯ a p
ștează,ˈ ʃ t e̯ a z ə
ștecher,ˈ ʃ t e k e r
ștecălire,ʃ t e k ə ˈ l i r e
ștecăr,ˈ ʃ t e k ə r
ștempar,ʃ t e m ˈ p a r
ștempel,ˈ ʃ t e m p e l
ștempeluire,ʃ t e m p e l u ˈ i r e
ștemplui,ʃ t e m p l u ˈ i
ștempluire,ʃ t e m p l u ˈ i r e
ștempluit,ʃ t e m p l u ˈ i t
ștempări,ʃ t e m p ə ˈ r i
ștempărire,ʃ t e m p ə ˈ r i r e
ștempăriță,ʃ t e m p ə ˈ r i t͡s ə
ștemui,ʃ t e m u ˈ i
ștemuire,ʃ t e m u ˈ i r e
ștemuit,ʃ t e m u ˈ i t
ștemuitoare,ʃ t e m u i ˈ t o̯ a r e
ștemuitor,ʃ t e m u i ˈ t o r
ștergar,ʃ t e r ˈ ɡ a r
șterge,ˈ ʃ t e r d ʒ e
ștergere,ˈ ʃ t e r d ʒ e r e
ștergură,ʃ t e r ˈ ɡ u r ə
ștergărel,ʃ t e r ɡ ə ˈ r e l
ștergărire,ʃ t e r ɡ ə ˈ r i r e
ștergătoare,ʃ t e r ɡ ə ˈ t o̯ a r e
ștergător,ʃ t e r ɡ ə ˈ t o r
șterire,ʃ t e ˈ r i r e
șterpeleală,ʃ t e r p e ˈ l e̯ a l ə
șterpeli,ʃ t e r p e ˈ l i
șterpelire,ʃ t e r p e ˈ l i r e
șters,ʃ t e r s
ștersură,ʃ t e r ˈ s u r ə
ștersătură,ʃ t e r s ə ˈ t u r ə
șterț,ʃ t e r t͡s
ștevie,ˈ ʃ t e v i e
ștezar,ʃ t e ˈ z a r
ștezare,ʃ t e ˈ z a r e
ști,ʃ t i
șticuire,ʃ t i k u ˈ i r e
știft,ʃ t i f t
știftui,ʃ t i f t u ˈ i
știftuire,ʃ t i f t u ˈ i r e
știftuit,ʃ t i f t u ˈ i t
științific,ʃ t i i n ˈ t͡s i f i k
științificește,ʃ t i i n t͡s i f i ˈ t͡ʃ e ʃ t e
științifizare,ʃ t i i n t͡s i f i ˈ z a r e
știință,ʃ t i ˈ i n t͡s ə
știlburare,ʃ t i l b u ˈ r a r e
știm,ʃ t i m
știmocire,ʃ t i m o ˈ t͡ʃ i r e
știmă,ˈ ʃ t i m ə
știob,ʃ t j o b
știobâlcăire,ʃ t j o b ɨ l k ə ˈ i r e
știpuire,ʃ t i p u ˈ i r e
știr,ʃ t i r
știrb,ʃ t i r b
știrbi,ʃ t i r ˈ b i
știrbire,ʃ t i r ˈ b i r e
știrbit,ʃ t i r ˈ b i t
știrbitură,ʃ t i r b i ˈ t u r ə
ștircuire,ʃ t i r k u ˈ i r e
știre,ˈ ʃ t i r e
știrici,ʃ t i r i ˈ t͡ʃ i
știricire,ʃ t i r i ˈ t͡ʃ i r e
știrire,ʃ t i ˈ r i r e
știucă,ˈ ʃ t j u k ə
știuldicare,ʃ t j u l d i ˈ k a r e
știut,ʃ t i ˈ u t
știutor,ʃ t i u ˈ t o r
ștocălire,ʃ t o k ə ˈ l i r e
ștoflocire,ʃ t o f l o ˈ t͡ʃ i r e
ștofă,ˈ ʃ t o f ə
ștolui,ʃ t o l u ˈ i
ștoluire,ʃ t o l u ˈ i r e
ștraf,ʃ t r a f
ștraif,ʃ t r a j f
ștramporire,ʃ t r a m p o ˈ r i r e
ștrand,ʃ t r a n d
ștrangula,ʃ t r a n ɡ u ˈ l a
ștrangulare,ʃ t r a n ɡ u ˈ l a r e
ștrangulat,ʃ t r a n ɡ u ˈ l a t
ștras,ʃ t r a s
ștrecui,ʃ t r e k u ˈ i
ștrecuire,ʃ t r e k u ˈ i r e
ștrecuit,ʃ t r e k u ˈ i t
ștrefuire,ʃ t r e f u ˈ i r e
ștrengar,ʃ t r e n ˈ ɡ a r
ștrengăresc,ʃ t r e n ɡ ə ˈ r e s k
ștrengărește,ʃ t r e n ɡ ə ˈ r e ʃ t e
ștrengări,ʃ t r e n ɡ ə ˈ r i
ștrengărie,ʃ t r e n ɡ ə ˈ r i e
ștrengărire,ʃ t r e n ɡ ə ˈ r i r e
ștrengăriță,ʃ t r e n ɡ ə ˈ r i t͡s ə
ștricuire,ʃ t r i k u ˈ i r e
ștricănire,ʃ t r i k ə ˈ n i r e
ștrofăluire,ʃ t r o f ə l u ˈ i r e
ștrudel,ˈ ʃ t r u d e l
ștuc,ʃ t u k
ștucat,ʃ t u ˈ k a t
ștucator,ʃ t u k a ˈ t o r
ștudiruire,ʃ t u d i r u ˈ i r e
ștupui,ʃ t u p u ˈ i
ștupuire,ʃ t u p u ˈ i r e
șturț,ʃ t u r t͡s
ștuț,ʃ t u t͡s
ștuțui,ʃ t u t͡s u ˈ i
ștuțuire,ʃ t u t͡s u ˈ i r e
șușcăire,ʃ u ʃ k ə ˈ i r e
șușlete,ʃ u ʃ ˈ l e t e
șușoteală,ʃ u ʃ o ˈ t e̯ a l ə
șușoti,ʃ u ʃ o ˈ t i
șușotire,ʃ u ʃ o ˈ t i r e
șușotit,ʃ u ʃ o ˈ t i t
șuștac,ʃ u ʃ ˈ t a k
șușter,ˈ ʃ u ʃ t e r
șuștăr,ˈ ʃ u ʃ t ə r
șușui,ʃ u ʃ u ˈ i
șușuire,ʃ u ʃ u ˈ i r e
șușuit,ʃ u ʃ u ˈ i t
șușuitor,ʃ u ʃ u i ˈ t o r
șușuitură,ʃ u ʃ u i ˈ t u r ə
șușălire,ʃ u ʃ ə ˈ l i r e
șușăniță,ʃ u ʃ ə ˈ n i t͡s ə
șuți,ˈ ʃ u t͡s ʲ
șu,ʃ u
șuber,ˈ ʃ u b e r
șuberec,ˈ ʃ u b e r e k
șubiță,ʃ u ˈ b i t͡s ə
șubler,ˈ ʃ u b l e r
șubred,ˈ ʃ u b r e d
șubrezi,ʃ u b r e ˈ z i
șubrezire,ʃ u b r e ˈ z i r e
șubrezit,ʃ u b r e ˈ z i t
șubuliță,ʃ u b u ˈ l i t͡s ə
șubă,ˈ ʃ u b ə
șuc,ʃ u k
șucar,ʃ u ˈ k a r
șuchere,ʃ u ˈ k h e r e
șucăr,ˈ ʃ u k ə r
șucăreală,ʃ u k ə ˈ r e̯ a l ə
șucări,ʃ u k ə ˈ r i
șucărire,ʃ u k ə ˈ r i r e
șucărit,ʃ u k ə ˈ r i t
șuetă,ʃ u ˈ e t ə
șufan,ʃ u ˈ f a n
șugar,ʃ u ˈ ɡ a r
șugubeț,ʃ u ɡ u ˈ b e t͡s
șugubinar,ʃ u ɡ u b i ˈ n a r
șugubină,ʃ u ɡ u ˈ b i n ə
șugubăț,ʃ u ɡ u ˈ b ə t͡s
șugui,ʃ u ɡ u ˈ i
șuguire,ʃ u ɡ u ˈ i r e
șuguitor,ʃ u ɡ u i ˈ t o r
șugărel,ʃ u ɡ ə ˈ r e l
șui,ʃ u j
șui,ʃ u ˈ i
șuiera,ʃ u j e ˈ r a
șuierare,ʃ u j e ˈ r a r e
șuierătoare,ʃ u j e r ə ˈ t o̯ a r e
șuierător,ʃ u j e r ə ˈ t o r
șuierătură,ʃ u j e r ə ˈ t u r ə
șular,ʃ u ˈ l a r
șuler,ˈ ʃ u l e r
șulerie,ʃ u l e ˈ r i e
șumar,ʃ u ˈ m a r
șumen,ˈ ʃ u m e n
șumeneală,ʃ u m e ˈ n e̯ a l ə
șumeni,ʃ u m e ˈ n i
șumenire,ʃ u m e ˈ n i r e
șumenit,ʃ u m e ˈ n i t
șuncă,ˈ ʃ u n k ə
șunt,ʃ u n t
șuntare,ʃ u n ˈ t a r e
șupuri,ʃ u p u ˈ r i
șupurire,ʃ u p u ˈ r i r e
șupurluire,ʃ u p u r l u ˈ i r e
șurguluire,ʃ u r ɡ u l u ˈ i r e
șurgănire,ʃ u r ɡ ə ˈ n i r e
șurluire,ʃ u r l u ˈ i r e
șurub,ʃ u ˈ r u b
șurubar,ʃ u r u ˈ b a r
șurubel,ʃ u r u ˈ b e l
șurubelniță,ʃ u r u ˈ b e l n i t͡s ə
șurubui,ʃ u r u b u ˈ i
șurubuire,ʃ u r u b u ˈ i r e
șurubărie,ʃ u r u b ə ˈ r i e
șurubărire,ʃ u r u b ə ˈ r i r e
șurup,ʃ u ˈ r u p
șurupelniță,ʃ u r u ˈ p e l n i t͡s ə
șură,ˈ ʃ u r ə
șustă,ˈ ʃ u s t ə
șut,ʃ u t
șuta,ʃ u ˈ t a
șutare,ʃ u ˈ t a r e
șutat,ʃ u ˈ t a t
șuter,ʃ u ˈ t e r
șuti,ʃ u ˈ t i
șutilire,ʃ u t i ˈ l i r e
șutire,ʃ u ˈ t i r e
șutitoare,ʃ u t i ˈ t o̯ a r e
șutitor,ʃ u t i ˈ t o r
șutor,ʃ u ˈ t o r
șuvar,ʃ u ˈ v a r
șuviță,ʃ u ˈ v i t͡s ə
șuvoi,ʃ u ˈ v o j
șvab,ʃ v a b
șvabă,ˈ ʃ v a b ə
șvaițer,ˈ ʃ v a j t͡s e r
șvarț,ʃ v a r t͡s
șved,ʃ v e d
șvedă,ˈ ʃ v e d ə
șvemer,ˈ ʃ v e m e r
șvezesc,ʃ v e ˈ z e s k
șvăbesc,ʃ v ə ˈ b e s k
șvăbește,ʃ v ə ˈ b e ʃ t e
șâșâire,ʃ ɨ ʃ ɨ ˈ i r e
țăcălaș,t͡s ə k ə ˈ l a ʃ
țăcălie,t͡s ə k ə ˈ l i e
țăcăneală,t͡s ə k ə ˈ n e̯ a l ə
țăcăni,t͡s ə k ə ˈ n i
țăcănire,t͡s ə k ə ˈ n i r e
țăcănit,t͡s ə k ə ˈ n i t
țăcănitură,t͡s ə k ə n i ˈ t u r ə
țăhni,t͡s ə h ˈ n i
țăhnire,t͡s ə h ˈ n i r e
țăhnit,t͡s ə h ˈ n i t
țăhăluire,t͡s ə h ə l u ˈ i r e
țăndări,t͡s ə n d ə ˈ r i
țăndărică,t͡s ə n d ə ˈ r i k ə
țăndărire,t͡s ə n d ə ˈ r i r e
țăndăros,t͡s ə n d ə ˈ r o s
țăpoi,t͡s ə ˈ p o j
țăpuc,t͡s ə ˈ p u k
țăpulean,t͡s ə p u ˈ l e̯ a n
țăran,t͡s ə ˈ r a n
țărancă,t͡s ə ˈ r a n k ə
țărani,t͡s ə ˈ r a n ʲ
țărcui,t͡s ə r k u ˈ i
țărcuire,t͡s ə r k u ˈ i r e
țărcușor,t͡s ə r k u ˈ ʃ o r
țărcălan,t͡s ə r k ə ˈ l a n
țărcăluire,t͡s ə r k ə l u ˈ i r e
țări,ˈ t͡s ə r ʲ
țărigrădean,t͡s ə r i ɡ r ə ˈ d e̯ a n
țării,ˈ t͡s ə r iː
țările,ˈ t͡s ə r i l e
țărilor,ˈ t͡s ə r i l o r
țărișoară,t͡s ə r i ˈ ʃ o̯ a r ə
țărm,t͡s ə r m
țărmui,t͡s ə r m u ˈ i
țărmuire,t͡s ə r m u ˈ i r e
țărmuitor,t͡s ə r m u i ˈ t o r
țărmur,ˈ t͡s ə r m u r
țărmure,ˈ t͡s ə r m u r e
țărmurean,t͡s ə r m u ˈ r e̯ a n
țărmureană,t͡s ə r m u ˈ r e̯ a n ə
țărmuri,t͡s ə r m u ˈ r i
țărmurire,t͡s ə r m u ˈ r i r e
țărmurit,t͡s ə r m u ˈ r i t
țărnă,ˈ t͡s ə r n ə
țăruș,t͡s ə ˈ r u ʃ
țărânos,t͡s ə r ɨ ˈ n o s
țărână,t͡s ə ˈ r ɨ n ə
țărăncuță,t͡s ə r ə n ˈ k u t͡s ə
țărăneasca,t͡s ə r ə ˈ n e̯ a s k a
țărănesc,t͡s ə r ə ˈ n e s k
țărănește,t͡s ə r ə ˈ n e ʃ t e
țărănie,t͡s ə r ə ˈ n i e
țărănime,t͡s ə r ə ˈ n i m e
țărănism,t͡s ə r ə ˈ n i s m
țărănist,t͡s ə r ə ˈ n i s t
țărănoi,t͡s ə r ə ˈ n o j
țărănos,t͡s ə r ə ˈ n o s
țățică,t͡s ə ˈ t͡s i k ə
ț,t͡s
ța,t͡s a
țac,t͡s a k
țafandache,t͡s a f a n ˈ d a k e
țaglă,ˈ t͡s a ɡ l ə
țah,t͡s a h
țaică,ˈ t͡s a j k ə
țal,t͡s a l
țambal,t͡s a m ˈ b a l
țambalagiu,t͡s a m b a l a ˈ d ʒ i w
țambalist,t͡s a m b a ˈ l i s t
țambră,ˈ t͡s a m b r ə
țanc,t͡s a n k
țandură,ˈ t͡s a n d u r ə
țandără,ˈ t͡s a n d ə r ə
țanțoș,ˈ t͡s a n t͡s o ʃ
țanțoșie,t͡s a n t͡s o ˈ ʃ i e
țap,t͡s a p
țapap,t͡s a ˈ p a p
țapin,t͡s a ˈ p i n
țapinar,t͡s a p i ˈ n a r
țapină,t͡s a ˈ p i n ə
țapoș,ˈ t͡s a p o ʃ
țar,t͡s a r
țara,ˈ t͡s a r a
țarat,t͡s a ˈ r a t
țarc,t͡s a r k
țarcă,ˈ t͡s a r k ə
țarevici,t͡s a ˈ r e v i t͡ʃ ʲ
țarigrădean,t͡s a r i ɡ r ə ˈ d e̯ a n
țarigrădeancă,t͡s a r i ɡ r ə ˈ d e̯ a n k ə
țarina,t͡s a ˈ r i n a
țarină,t͡s a ˈ r i n ə
țarism,t͡s a ˈ r i s m
țarist,t͡s a ˈ r i s t
țarnă,ˈ t͡s a r n ə
țaro,ˈ t͡s a r o
țară,ˈ t͡s a r ə
țarțam,t͡s a r ˈ t͡s a m
țață,ˈ t͡s a t͡s ə
țeapă,ˈ t͡s e̯ a p ə
țeapăn,ˈ t͡s e̯ a p ə n
țearină,t͡s e̯ a ˈ r i n ə
țeară,ˈ t͡s e̯ a r ə
țeastă,ˈ t͡s e̯ a s t ə
țeavă,ˈ t͡s e̯ a v ə
țechin,t͡s e ˈ k i n
țel,t͡s e l
țeline,ˈ t͡s e l i n e
țelinos,t͡s e l i ˈ n o s
țelină,ˈ t͡s e l i n ə
țencușă,t͡s e n ˈ k u ʃ ə
țepos,t͡s e ˈ p o s
țepoșică,t͡s e p o ˈ ʃ i k ə
țepușă,t͡s e ˈ p u ʃ ə
țeremonie,t͡s e r e ˈ m o n i e
țesală,t͡s e ˈ s a l ə
țese,ˈ t͡s e s e
țesere,ˈ t͡s e s e r e
țest,t͡s e s t
țestos,t͡s e s ˈ t o s
țesut,t͡s e ˈ s u t
țesutoterapie,t͡s e s u t o t e r a ˈ p i e
țesăla,t͡s e s ə ˈ l a
țesălare,t͡s e s ə ˈ l a r e
țesălat,t͡s e s ə ˈ l a t
țesătoare,t͡s e s ə ˈ t o̯ a r e
țesător,t͡s e s ə ˈ t o r
țesătorie,t͡s e s ə t o ˈ r i e
țesătură,t͡s e s ə ˈ t u r ə
țevar,t͡s e ˈ v a r
țevișoară,t͡s e v i ˈ ʃ o̯ a r ə
țevos,t͡s e ˈ v o s
țevui,t͡s e v u ˈ i
țevuire,t͡s e v u ˈ i r e
țevărie,t͡s e v ə ˈ r i e
țiștar,t͡s i ʃ ˈ t a r
țiț,t͡s i t͡s
țiței,t͡s i ˈ t͡s e j
țibă,ˈ t͡s i b ə
țiclean,t͡s i ˈ k l e̯ a n
țiclete,t͡s i ˈ k l e t e
țiclinc,t͡s i ˈ k l i n k
țicling,t͡s i ˈ k l i n ɡ
țiclă,ˈ t͡s i k l ə
țiclău,t͡s i ˈ k l ə w
țicneală,t͡s i k ˈ n e̯ a l ə
țicni,t͡s i k ˈ n i
țicnire,t͡s i k ˈ n i r e
țicnit,t͡s i k ˈ n i t
țicui,t͡s i k u ˈ i
țicuire,t͡s i k u ˈ i r e
țică,ˈ t͡s i k ə
țidulă,t͡s i ˈ d u l ə
țif,t͡s i f
țigaie,t͡s i ˈ ɡ a j e
țigan,t͡s i ˈ ɡ a n
țiganca,ˈ t͡s i ɡ a n k a
țigancă,t͡s i ˈ ɡ a n k ə
țigani,t͡s i ˈ ɡ a n ʲ
țigaret,t͡s i ɡ a ˈ r e t
țigaretă,t͡s i ɡ a ˈ r e t ə
țigară,t͡s i ˈ ɡ a r ə
țigher,t͡s i ˈ ɡ e r
țiglar,t͡s i ˈ ɡ l a r
țiglină,t͡s i ˈ ɡ l i n ə
țiglă,ˈ t͡s i ɡ l ə
țiglărie,t͡s i ɡ l ə ˈ r i e
țignal,t͡s i ɡ ˈ n a l
țigâi,t͡s i ˈ ɡ ɨ j
țigănatic,t͡s i ɡ ə ˈ n a t i k
țigănaș,t͡s i ɡ ə ˈ n a ʃ
țigăncușă,t͡s i ɡ ə n ˈ k u ʃ ə
țigăncuță,t͡s i ɡ ə n ˈ k u t͡s ə
țigăneală,t͡s i ɡ ə ˈ n e̯ a l ə
țigănel,t͡s i ɡ ə ˈ n e l
țigănesc,t͡s i ɡ ə ˈ n e s k
țigănește,t͡s i ɡ ə ˈ n e ʃ t e
țigăni,t͡s i ɡ ə ˈ n i
țigănie,t͡s i ɡ ə ˈ n i e
țigănime,t͡s i ɡ ə ˈ n i m e
țigănire,t͡s i ɡ ə ˈ n i r e
țigănos,t͡s i ɡ ə ˈ n o s
țigănuș,t͡s i ɡ ə ˈ n u ʃ
țigănărit,t͡s i ɡ ə n ə ˈ r i t
țigărar,t͡s i ɡ ə ˈ r a r
țiitoare,t͡s i i ˈ t o̯ a r e
țiitor,t͡s i i ˈ t o r
țiitori,t͡s i i ˈ t o r ʲ
țiitură,t͡s i i ˈ t u r ə
țilindru,t͡s i ˈ l i n d r u
țimară,t͡s i ˈ m a r ə
țimbal,t͡s i m ˈ b a l
țimbală,t͡s i m ˈ b a l ə
țimir,t͡s i ˈ m i r
ținc,t͡s i n k
țincar,t͡s i n ˈ k a r
țincvais,ˈ t͡s i n k v a j s
ține,ˈ t͡s i n e
ținea,t͡s i ˈ n e̯ a
ținere,ˈ t͡s i n e r e
ținghilinghi,t͡s i n ɡ i ˈ l i n ɡ i
țingău,t͡s i n ˈ ɡ ə w
țintar,t͡s i n ˈ t a r
țintat,t͡s i n ˈ t a t
țintaură,t͡s i n ˈ t a u r ə
țintaș,t͡s i n ˈ t a ʃ
țintelat,t͡s i n t e ˈ l a t
ținterim,t͡s i n t e ˈ r i m
ținteș,ˈ t͡s i n t e ʃ
ținti,t͡s i n ˈ t i
țintire,t͡s i n ˈ t i r e
țintirim,t͡s i n t i ˈ r i m
țintit,t͡s i n ˈ t i t
țintitor,t͡s i n t i ˈ t o r
țintișoară,t͡s i n t i ˈ ʃ o̯ a r ə
țintui,t͡s i n t u ˈ i
țintuire,t͡s i n t u ˈ i r e
țintuit,t͡s i n t u ˈ i t
țintă,ˈ t͡s i n t ə
țintățel,t͡s i n t ə ˈ t͡s e l
ținut,t͡s i ˈ n u t
ținutal,t͡s i n u ˈ t a l
ținutaș,t͡s i n u ˈ t a ʃ
ținutașă,t͡s i n u ˈ t a ʃ ə
ținută,t͡s i ˈ n u t ə
țipa,t͡s i ˈ p a
țipar,t͡s i ˈ p a r
țipare,t͡s i ˈ p a r e
țipat,t͡s i ˈ p a t
țipenie,t͡s i ˈ p e n i e
țipet,ˈ t͡s i p e t
țipirig,t͡s i p i ˈ r i ɡ
țiplă,ˈ t͡s i p l ə
țipoti,t͡s i p o ˈ t i
țipotire,t͡s i p o ˈ t i r e
țipăt,ˈ t͡s i p ə t
țipătoare,t͡s i p ə ˈ t o̯ a r e
țipător,t͡s i p ə ˈ t o r
țircălam,t͡s i r k ə ˈ l a m
țist,t͡s i s t
țistui,t͡s i s t u ˈ i
țistuială,t͡s i s t u ˈ j a l ə
țistuire,t͡s i s t u ˈ i r e
țistuitură,t͡s i s t u i ˈ t u r ə
țiteră,ˈ t͡s i t e r ə
țiu,t͡s i w
țiui,t͡s i u ˈ i
țiuire,t͡s i u ˈ i r e
țiuit,t͡s i u ˈ i t
țiuitoare,t͡s i u i ˈ t o̯ a r e
țiuitor,t͡s i u i ˈ t o r
țiuitură,t͡s i u i ˈ t u r ə
țivil,t͡s i ˈ v i l
țivilie,t͡s i v i ˈ l i e
țivli,t͡s i ˈ v l i
țivlic,ˈ t͡s i v l i k
țivlire,t͡s i ˈ v l i r e
țoală,ˈ t͡s o̯ a l ə
țoapă,ˈ t͡s o̯ a p ə
țoc,t͡s o k
țocăi,t͡s o k ə ˈ i
țocăire,t͡s o k ə ˈ i r e
țocăit,t͡s o k ə ˈ i t
țoi,t͡s o j
țol,t͡s o l
țolet,t͡s o ˈ l e t
țolinc,t͡s o ˈ l i n k
țolină,t͡s o ˈ l i n ə
țoliță,t͡s o ˈ l i t͡s ə
țoluț,t͡s o ˈ l u t͡s
țonțoroi,t͡s o n t͡s o ˈ r o j
țop,t͡s o p
țopenie,t͡s o ˈ p e n i e
țopică,t͡s o ˈ p i k ə
țopișoară,t͡s o p i ˈ ʃ o̯ a r ə
țopârcă,t͡s o ˈ p ɨ r k ə
țopârlan,t͡s o p ɨ r ˈ l a n
țopârlancă,t͡s o p ɨ r ˈ l a n k ə
țopârlănesc,t͡s o p ɨ r l ə ˈ n e s k
țopârlăni,t͡s o p ɨ r l ə ˈ n i
țopârlănire,t͡s o p ɨ r l ə ˈ n i r e
țopăi,t͡s o p ə ˈ i
țopăială,t͡s o p ə ˈ j a l ə
țopăire,t͡s o p ə ˈ i r e
țopăit,t͡s o p ə ˈ i t
țopăitură,t͡s o p ə i ˈ t u r ə
țovârnac,t͡s o v ɨ r ˈ n a k
țuca,t͡s u ˈ k a
țucal,t͡s u ˈ k a l
țucare,t͡s u ˈ k a r e
țug,t͡s u ɡ
țugui,t͡s u ɡ u ˈ i
țuguia,t͡s u ɡ u ˈ j a
țuguiat,t͡s u ɡ u ˈ j a t
țuguiere,t͡s u ɡ u ˈ j e r e
țuguitură,t͡s u ɡ u i ˈ t u r ə
țuhaus,t͡s u ˈ h a w s
țuhăi,t͡s u h ə ˈ i
țuhăire,t͡s u h ə ˈ i r e
țuicar,t͡s u j ˈ k a r
țuicui,t͡s u j k u ˈ i
țuicuială,t͡s u j k u ˈ j a l ə
țuicuire,t͡s u j k u ˈ i r e
țuiculeană,t͡s u j k u ˈ l e̯ a n ə
țuiculiță,t͡s u j k u ˈ l i t͡s ə
țuică,t͡s u j k ə
țuicăreală,t͡s u j k ə ˈ r e̯ a l ə
țuicări,t͡s u j k ə ˈ r i
țuicărie,t͡s u j k ə ˈ r i e
țuicărire,t͡s u j k ə ˈ r i r e
țuluc,t͡s u ˈ l u k
țumburuș,t͡s u m b u ˈ r u ʃ
țundriță,t͡s u n ˈ d r i t͡s ə
țundră,ˈ t͡s u n d r ə
țup,t͡s u p
țupa,ˈ t͡s u p a
țupăi,t͡s u p ə ˈ i
țupăire,t͡s u p ə ˈ i r e
țurcan,t͡s u r ˈ k a n
țurcancă,t͡s u r ˈ k a n k ə
țurcană,t͡s u r ˈ k a n ə
țurcă,ˈ t͡s u r k ə
țurcănesc,t͡s u r k ə ˈ n e s k
țurloi,t͡s u r ˈ l o j
țurluit,t͡s u r l u ˈ i t
țurțur,ˈ t͡s u r t͡s u r
țurțurat,t͡s u r t͡s u ˈ r a t
țurțure,ˈ t͡s u r t͡s u r e
țușcov,ˈ t͡s u ʃ k o v
țușcă,ˈ t͡s u ʃ k ə
țuști,t͡s u ʃ t ʲ
țuț,t͡s u t͡s
țuțui,t͡s u t͡s u ˈ i
țuțuia,t͡s u t͡s u ˈ j a
țuțuian,t͡s u t͡s u ˈ j a n
țuțuiancă,t͡s u t͡s u ˈ j a n k ə
țuțuroi,t͡s u t͡s u ˈ r o j
țuțăneasca,t͡s u t͡s ə ˈ n e̯ a s k a
țâfni,t͡s ɨ f n ʲ
țâfnire,t͡s ɨ f ˈ n i r e
țâfnos,t͡s ɨ f ˈ n o s
țâfnă,ˈ t͡s ɨ f n ə
țâhliș,t͡s ɨ ˈ h l i ʃ
țâhlă,ˈ t͡s ɨ h l ə
țâmburuc,t͡s ɨ m b u ˈ r u k
țâmburuș,t͡s ɨ m b u ˈ r u ʃ
țânc,t͡s ɨ n k
țâncă,ˈ t͡s ɨ n k ə
țândără,ˈ t͡s ɨ n d ə r ə
țângău,t͡s ɨ n ˈ ɡ ə w
țânțar,t͡s ɨ n ˈ t͡s a r
țânțari,t͡s ɨ n ˈ t͡s a r ʲ
țânțăraș,t͡s ɨ n t͡s ə ˈ r a ʃ
țânțărime,t͡s ɨ n t͡s ə ˈ r i m e
țâpuri,t͡s ɨ p u ˈ r i
țâpurire,t͡s ɨ p u ˈ r i r e
țâpuritoare,t͡s ɨ p u r i ˈ t o̯ a r e
țâpuritură,t͡s ɨ p u r i ˈ t u r ə
țâr,t͡s ɨ r
țârc,t͡s ɨ r k
țârcovnic,t͡s ɨ r ˈ k o v n i k
țârcovnicesc,t͡s ɨ r k o v n i ˈ t͡ʃ e s k
țârcâi,t͡s ɨ r k ɨ ˈ i
țârcâială,t͡s ɨ r k ɨ ˈ j a l ə
țârcâire,t͡s ɨ r k ɨ ˈ i r e
țârcâitură,t͡s ɨ r k ɨ i ˈ t u r ə
țârică,t͡s ɨ ˈ r i k ə
țârișoară,t͡s ɨ r i ˈ ʃ o̯ a r ə
țârlâi,t͡s ɨ r l ɨ ˈ i
țârlâire,t͡s ɨ r l ɨ ˈ i r e
țârlâit,t͡s ɨ r l ɨ ˈ i t
țârlâitoare,t͡s ɨ r l ɨ i ˈ t o̯ a r e
țârlâitor,t͡s ɨ r l ɨ i ˈ t o r
țârlâitură,t͡s ɨ r l ɨ i ˈ t u r ə
țârlăi,t͡s ɨ r l ə ˈ i
țârlăire,t͡s ɨ r l ə ˈ i r e
țârucă,t͡s ɨ ˈ r u k ə
țârâi,t͡s ɨ r ɨ ˈ i
țârâială,t͡s ɨ r ɨ ˈ j a l ə
țârâire,t͡s ɨ r ɨ ˈ i r e
țârâit,t͡s ɨ r ɨ ˈ i t
țârâita,t͡s ɨ r ɨ ˈ i t a
țârâitură,t͡s ɨ r ɨ i ˈ t u r ə
țâră,ˈ t͡s ɨ r ə
țâșni,t͡s ɨ ʃ ˈ n i
țâșnire,t͡s ɨ ʃ ˈ n i r e
țâșnitor,t͡s ɨ ʃ n i ˈ t o r
țâșnitură,t͡s ɨ ʃ n i ˈ t u r ə
țâșt,t͡s ɨ ʃ t
țâști,t͡s ɨ ʃ t ʲ
țâțacă,t͡s ɨ ˈ t͡s a k ə
țâțișoară,t͡s ɨ t͡s i ˈ ʃ o̯ a r ə
țâțoasă,t͡s ɨ ˈ t͡s o̯ a s ə
țâțucă,t͡s ɨ ˈ t͡s u k ə
țâțâi,t͡s ɨ t͡s ɨ ˈ i
țâțâire,t͡s ɨ t͡s ɨ ˈ i r e
țâțâit,t͡s ɨ t͡s ɨ ˈ i t
țâțână,t͡s ɨ ˈ t͡s ɨ n ə
țâță,ˈ t͡s ɨ t͡s ə
aș,ˈ a ʃ
așa,a ˈ ʃ a
așadar,a ʃ a ˈ d a r
așași,a ˈ ʃ a ʃ i
